ShipmentID,Product,Quantity,UnitCost,Supplier,Warehouse,ShipmentDate,TransportMode,Destination,Status,DeliveryDate
SHP00001,Monitor,485,597.11,NetSys,WH-B,14-08-2023,Rail,Los Angeles,In Transit,22-08-2023
SHP00002,Keyboard,464,1447.91,TechCorp,WH-B,30-08-2023,Ship,Los Angeles,Delivered,04-09-2023
SHP00003,Tablet,169,179.47,TechCorp,WH-B,21-05-2023,Truck,Houston,Delivered,31-05-2023
SHP00004,Keyboard,20,1046.18,Innovatek,WH-B,18-07-2023,Truck,New York,Delayed,21-07-2023
SHP00005,Keyboard,147,766.03,GadgetPro,WH-B,22-04-2023,Truck,Houston,In Transit,30-04-2023
SHP00006,Phone,466,612.09,Innovatek,WH-A,07-05-2023,Air,Chicago,In Transit,15-05-2023
SHP00007,Tablet,87,967.43,GadgetPro,WH-A,21-01-2023,Air,Los Angeles,Delivered,25-01-2023
SHP00008,Tablet,86,1070.59,Digitron,WH-C,27-05-2023,Truck,Phoenix,Delayed,04-06-2023
SHP00009,Tablet,450,56.33,Innovatek,WH-A,30-03-2023,Truck,Phoenix,Delayed,04-04-2023
SHP00010,Keyboard,263,292.08,Innovatek,WH-A,30-10-2023,Ship,New York,Delayed,04-11-2023
SHP00011,Monitor,418,1083.92,NetSys,WH-A,22-07-2023,Air,New York,Delivered,25-07-2023
SHP00012,Tablet,267,1016.26,Innovatek,WH-B,26-03-2023,Air,Phoenix,Delivered,02-04-2023
SHP00013,Keyboard,329,1450.77,GadgetPro,WH-B,16-06-2023,Truck,New York,In Transit,25-06-2023
SHP00014,Phone,300,1153.5,NetSys,WH-C,13-03-2023,Ship,Los Angeles,Delayed,22-03-2023
SHP00015,Monitor,272,1428.62,Innovatek,WH-C,25-10-2023,Ship,Chicago,Delivered,26-10-2023
SHP00016,Phone,94,1068.68,Innovatek,WH-C,09-01-2023,Truck,Chicago,Delayed,10-01-2023
SHP00017,Monitor,155,482.18,Digitron,WH-B,08-10-2023,Truck,Houston,Delivered,18-10-2023
SHP00018,Keyboard,332,202.78,Innovatek,WH-A,15-09-2023,Air,Los Angeles,In Transit,20-09-2023
SHP00019,Laptop,51,1183.64,TechCorp,WH-A,02-10-2023,Truck,New York,Delayed,03-10-2023
SHP00020,Monitor,383,984.02,NetSys,WH-B,26-08-2023,Rail,New York,Delivered,30-08-2023
SHP00021,Phone,134,119.87,TechCorp,WH-C,20-01-2023,Ship,Houston,Delayed,21-01-2023
SHP00022,Keyboard,176,572.07,NetSys,WH-C,21-08-2023,Truck,Houston,Delivered,23-08-2023
SHP00023,Monitor,434,1437.36,Digitron,WH-C,09-08-2023,Rail,New York,Delivered,11-08-2023
SHP00024,Laptop,250,775.58,Innovatek,WH-B,22-11-2023,Ship,New York,Delivered,26-11-2023
SHP00025,Laptop,468,677.46,Innovatek,WH-C,17-01-2023,Rail,Los Angeles,Delayed,25-01-2023
SHP00026,Tablet,496,713.66,Innovatek,WH-C,30-03-2023,Rail,Houston,Delivered,01-04-2023
SHP00027,Tablet,289,352.88,NetSys,WH-B,15-07-2023,Truck,Los Angeles,In Transit,24-07-2023
SHP00028,Phone,197,584.63,Innovatek,WH-A,16-12-2023,Ship,New York,Delayed,25-12-2023
SHP00029,Monitor,311,586.23,TechCorp,WH-B,25-03-2023,Rail,Phoenix,In Transit,27-03-2023
SHP00030,Monitor,28,125.91,Innovatek,WH-B,28-03-2023,Air,Phoenix,In Transit,29-03-2023
SHP00031,Tablet,77,1162.97,Digitron,WH-B,03-11-2023,Ship,New York,Delayed,13-11-2023
SHP00032,Monitor,227,653.93,TechCorp,WH-B,04-12-2023,Air,Houston,Delivered,14-12-2023
SHP00033,Monitor,111,1242.16,Innovatek,WH-A,03-06-2023,Truck,Phoenix,In Transit,12-06-2023
SHP00034,Laptop,51,1283,Innovatek,WH-C,16-08-2023,Air,Houston,Delayed,18-08-2023
SHP00035,Tablet,297,357.39,GadgetPro,WH-B,21-09-2023,Ship,Phoenix,Delivered,29-09-2023
SHP00036,Keyboard,176,1003.16,NetSys,WH-A,11-08-2023,Rail,Houston,Delayed,14-08-2023
SHP00037,Tablet,118,734.81,TechCorp,WH-C,01-05-2023,Rail,Phoenix,Delayed,02-05-2023
SHP00038,Keyboard,45,1326.23,GadgetPro,WH-C,22-06-2023,Ship,Houston,Delayed,23-06-2023
SHP00039,Laptop,241,362.82,Digitron,WH-C,04-01-2023,Rail,Los Angeles,Delivered,14-01-2023
SHP00040,Phone,238,1032.83,NetSys,WH-B,08-12-2023,Air,Houston,In Transit,10-12-2023
SHP00041,Monitor,362,931.24,TechCorp,WH-B,08-05-2023,Rail,Los Angeles,In Transit,15-05-2023
SHP00042,Laptop,173,478.19,Innovatek,WH-C,20-04-2023,Rail,Los Angeles,Delayed,26-04-2023
SHP00043,Monitor,396,248.07,TechCorp,WH-C,21-12-2023,Air,New York,Delayed,23-12-2023
SHP00044,Phone,82,994.88,Innovatek,WH-C,06-02-2023,Air,Los Angeles,Delivered,10-02-2023
SHP00045,Phone,145,1120.97,NetSys,WH-C,12-03-2023,Air,Chicago,Delayed,14-03-2023
SHP00046,Laptop,362,507.66,Innovatek,WH-C,16-10-2023,Truck,Los Angeles,Delayed,17-10-2023
SHP00047,Phone,388,985.01,Digitron,WH-C,31-01-2023,Air,Houston,Delayed,03-02-2023
SHP00048,Keyboard,79,622.94,Innovatek,WH-A,25-09-2023,Air,Los Angeles,In Transit,29-09-2023
SHP00049,Phone,434,1084.15,Digitron,WH-C,11-01-2023,Truck,Houston,Delayed,21-01-2023
SHP00050,Monitor,496,338.86,NetSys,WH-B,10-12-2023,Rail,Houston,In Transit,15-12-2023
SHP00051,Monitor,205,1340.81,NetSys,WH-B,24-11-2023,Air,Chicago,Delivered,29-11-2023
